"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.6",78.0431218511769,0.666569517394963,0.632537415356737,1.05380251224986,0.291973343083192,0.581574597661307
"ENSG00000268903.1",10.7736694740076,-0.722235030508348,0.512816807454355,-1.40836848560708,0.159021985922336,0.407944713406815
"ENSG00000279457.4",100.280944447946,0.45459086861974,0.311094134857187,1.46126467099236,0.143942821287903,0.383695903111305
"ENSG00000293331.1",76.8358295153614,0.510093075665122,0.392609024709893,1.29923930312616,0.193861817206389,0.458888724963796
"ENSG00000225630.1",1539.7974354374,-0.655584636039219,0.192438970821482,-3.40671451962491,0.00065749858949569,0.00691051592490739
"ENSG00000237973.1",237.924184542657,0.308591189048269,0.327045137422945,0.943573695912161,0.34538753923567,0.637908235781804
"ENSG00000229344.1",13.3213223928629,-0.627453324902747,0.509329060033602,-1.23192131401525,0.217978478696555,0.492182091209474
"ENSG00000248527.1",9143.25323389412,-0.763456009257506,0.186028084723122,-4.10398252712116,4.06098147958869e-05,0.000652499517733394
"ENSG00000198744.5",20.1741821883375,-0.312836507805348,0.545942614927701,-0.573020861994401,0.566630568682262,0.811320892956208
"ENSG00000291215.1",55.701496564404,-0.56567814178248,0.531793435573589,-1.06371779706597,0.287456559708738,0.576777904105822
"ENSG00000237491.10",14.7363189456438,-0.456233244637828,0.581155145169182,-0.785045522577301,0.432426878655915,0.714474538292065
"ENSG00000225880.6",16.4650224611928,0.380442585272046,0.906982527859094,0.419459662767782,0.674880228514132,0.879030550306377
"ENSG00000228794.12",318.941024590478,0.153025473431276,0.235285104312303,0.650383176098387,0.515444741860942,0.780553262738335
"ENSG00000272438.1",52.0798558239421,-0.524697752386883,0.993091003749365,-0.528348107480497,0.59725774740979,0.832062853872148
"ENSG00000223764.2",189.773375238257,-1.9909195477209,1.4680712292157,-1.35614642402911,0.175052584472341,0.432113043713448
"ENSG00000187634.13",706.483689413993,0.940174529414501,0.419244498619853,2.24254470245774,0.0249261895613779,0.117944983651211
"ENSG00000188976.11",3068.99640928616,0.701004472179402,0.278414671891018,2.51784314173572,0.0118075892445813,0.0681783575609647
"ENSG00000187961.15",302.995174926828,-0.0471338771175266,0.414680767740675,-0.113663041028713,0.909504911578893,0.99533163265759
"ENSG00000187583.11",64.9681524873831,0.850154905377363,0.259470304841684,3.27650174032858,0.00105101664970598,0.010298187426211
"ENSG00000187642.10",13.9084195208194,-0.373114882612638,0.549476168143803,-0.679037425541249,0.497114148820611,0.767763346688823
"ENSG00000272512.1",43.9272070789351,-2.15646743242417,0.777878908634986,-2.77224052289619,0.00556718840976986,0.038393118732259
"ENSG00000188290.11",423.890487984353,-0.557313580256938,0.492628669481196,-1.13130561573662,0.25792648152282,0.542513843828686
"ENSG00000187608.10",60.2594496548375,-0.592387527852215,0.309313687382224,-1.91516752092575,0.0554711430978654,0.205680032881279
"ENSG00000188157.15",4594.71466683427,-0.440430851596304,0.452075377202256,-0.974242070696227,0.329936360191513,0.623305983687914
"ENSG00000291156.1",38.2940450296034,-0.685042868206697,0.396282260741641,-1.72867406914617,0.0838674448341942,0.270309175018857
"ENSG00000273443.1",16.7044960462712,-1.04696862340126,0.703691386897387,-1.4878235585878,0.136797431055876,0.371261586068286
"ENSG00000237330.3",91.7274495490995,-1.52026292498731,0.249465131836334,-6.09408983851379,1.1006184058799e-09,4.85160959057463e-08
