"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0061620","GO:0061620","glycolytic process through glucose-6-phosphate",17,-0.809174569343096,-2.20251220483704,1.72517004972258e-05,0.0215365959144131,0.0208695332090994,2080,"tags=82%, list=12%, signal=72%","2026/3099/5213/5211/2584/2027/3098/5315/7167/5224/221937/5223/2023/5214"
"GO:0061615","GO:0061615","glycolytic process through fructose-6-phosphate",20,-0.777194312430176,-2.1807493576671,3.65080305932825e-05,0.0215365959144131,0.0208695332090994,2080,"tags=75%, list=12%, signal=66%","2026/3099/5213/5566/5211/2584/2027/3098/5315/7167/5224/221937/5223/2023/5214"
"GO:0006735","GO:0006735","NADH regeneration",15,-0.806659136883952,-2.10254435749893,5.24120697032176e-05,0.0215365959144131,0.0208695332090994,2080,"tags=87%, list=12%, signal=76%","2026/3099/5213/5211/2027/3098/5315/7167/5224/221937/5223/2023/5214"
"GO:0061621","GO:0061621","canonical glycolysis",15,-0.806659136883952,-2.10254435749893,5.24120697032176e-05,0.0215365959144131,0.0208695332090994,2080,"tags=87%, list=12%, signal=76%","2026/3099/5213/5211/2027/3098/5315/7167/5224/221937/5223/2023/5214"
"GO:0061718","GO:0061718","glucose catabolic process to pyruvate",15,-0.806659136883952,-2.10254435749893,5.24120697032176e-05,0.0215365959144131,0.0208695332090994,2080,"tags=87%, list=12%, signal=76%","2026/3099/5213/5211/2027/3098/5315/7167/5224/221937/5223/2023/5214"
"GO:0006695","GO:0006695","cholesterol biosynthetic process",46,-0.607710707042198,-2.08243369598628,4.25897224685891e-05,0.0215365959144131,0.0208695332090994,2809,"tags=52%, list=17%, signal=44%","1727/10654/2222/22937/50814/23541/2539/91734/6721/3422/51478/10162/4047/7108/3157/3638/1595/47/1718/4598/3156/1717/4597/2224"
"GO:1902653","GO:1902653","secondary alcohol biosynthetic process",46,-0.607710707042198,-2.08243369598628,4.25897224685891e-05,0.0215365959144131,0.0208695332090994,2809,"tags=52%, list=17%, signal=44%","1727/10654/2222/22937/50814/23541/2539/91734/6721/3422/51478/10162/4047/7108/3157/3638/1595/47/1718/4598/3156/1717/4597/2224"
"GO:0006096","GO:0006096","glycolytic process",76,-0.501513728562253,-1.90320802031766,5.2368972573479e-05,0.0215365959144131,0.0208695332090994,2465,"tags=41%, list=15%, signal=35%","402/51548/57521/3099/5213/64223/5566/5211/2584/28964/2027/3098/5315/3939/7167/11182/5224/3692/221937/2821/2597/26330/5465/55526/26137/5223/339123/2023/9759/5236/5214"
"GO:0016052","GO:0016052","carbohydrate catabolic process",136,-0.435925847235903,-1.81597885493269,2.22877388404997e-05,0.0215365959144131,0.0208695332090994,2465,"tags=33%, list=15%, signal=28%","402/51548/8987/5834/57521/3099/5213/4758/64223/5566/5211/2710/2582/2584/28964/2027/3098/5315/3939/7167/4041/2931/11182/5224/3692/4668/23324/4125/221937/2821/23710/2597/26330/55556/5465/55526/26137/5223/339123/6652/2023/9759/5236/7157/5214"
"GO:0044283","GO:0044283","small molecule biosynthetic process",482,-0.30342159319075,-1.44541794175583,1.5318060589964e-05,0.0215365959144131,0.0208695332090994,3227,"tags=29%, list=19%, signal=24%","5226/11091/26227/57761/162417/2686/11057/80142/10090/4790/220/80271/7083/171586/4282/2819/7923/2593/1727/2746/55163/4704/2026/5831/10654/3995/2805/7494/51004/26063/2222/353/283871/2950/51548/51547/22937/55657/51117/10728/92579/1609/8877/50814/23541/1841/239/9524/55501/2539/91734/2806/5566/215/6721/2571/7376/3292/2264/8985/4191/84532/9563/23408/65985/11019/1571/2027/63826/23352/8402/140710/151176/1642/127281/7167/6697/31/8912/3422/2194/51363/9885/3028/51478/5224/8854/57571/18/3692/79178/197322/10062/84245/10162/6576/8566/51477/54361/4047/6470/2821/55818/7108/6794/3157/5564/587/3638/5465/133/1595/5223/3613/10165/6652/2023/200186/51733/6319/47/9415/1718/102724560/8309/4598/6507/3156/1717/5236/4597/23417/11332/64768/64834/1543/4522/2224/3992"
