"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","Ribosome",129,-0.558960153543469,-2.41168184031716,1e-10,3.49e-08,2.08421052631579e-08,3496,"tags=48%, list=19%, signal=39%","6157/11224/6147/6202/6161/6205/6168/65003/6144/51021/6218/29074/4736/6204/6171/6133/6189/6165/6170/6137/6132/29088/6150/79590/6158/6159/6203/6134/6146/6188/51187/6136/64928/388524/65008/6208/6232/6176/63875/6183/6175/23521/6141/6187/55052/55168/3921/51116/64979/6206/51073/6217/64981/6193/6223/6222/6181/25873/6209/6142/6234/7311"
"hsa03008","Ribosome biogenesis in eukaryotes",75,-0.51759850127867,-2.05530165715311,9.50616260491912e-06,0.000184313930506487,0.000110071356478011,2638,"tags=39%, list=14%, signal=33%","23160/51367/1460/3692/55781/65083/55341/84135/55651/4809/10799/138716/10775/83732/55505/29107/4931/10248/84916/10528/1736/10171/92856/55272/55127/10557/10885/2091/28987"
"hsa00970","Aminoacyl-tRNA biosynthesis",44,-0.576438889081882,-2.0060571813906,0.000102705995643824,0.000919086986658835,0.000548874146760517,1938,"tags=43%, list=10%, signal=39%","2617/118672/4677/51091/10056/2193/10667/7407/6897/3735/2058/55278/6301/92935/833/25973/4141/8565/3376"
"hsa03020","RNA polymerase",34,-0.602537462249249,-1.95623089246907,0.000193081489572797,0.00146490086654144,0.000874831463052948,3654,"tags=56%, list=20%, signal=45%","55718/51082/171568/5436/5433/64425/5441/9533/221830/5434/5432/30834/51728/27297/10623/661/10849/5438/84172"
"hsa05322","Systemic lupus erythematosus",84,-0.40293882131168,-1.63684854634517,0.00402076224920653,0.016129264654863,0.00963231609610275,4173,"tags=42%, list=23%, signal=32%","8365/3112/440093/85236/6628/8341/3014/8340/8349/3109/3012/3017/8337/6737/8339/3020/440689/8345/8360/653604/8969/8329/8367/8330/85235/8358/8970/8332/128312/8338/55766/8347/92815/8334/8357"
"hsa04350","TGF-beta signaling pathway",100,-0.375902590772753,-1.53949305519603,0.00618961195929639,0.0232276835891875,0.0138714563434147,1617,"tags=18%, list=9%, signal=17%","3547/92/4092/285704/4090/4086/7043/650/3398/3397/25805/3399/5515/8454/83729/7042/3400/4609"
