"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05202","Transcriptional misregulation in cancer",152,0.392985668894454,1.6146060428049,0.000802703756239709,0.00775946964365052,0.00570342142591372,2515,"tags=25%, list=15%, signal=22%","8357/4609/1647/1025/904/4616/26471/4233/598/6258/6495/1031/5328/3398/4086/1026/1649/51513/4094/604/8353/1051/330/8013/6667/4005/7185/3207/4286/5087/8358/4299/6935/2138/5327/3576/221037/5546"
"hsa05322","Systemic lupus erythematosus",69,0.46855164556421,1.68227641283292,0.00151063697657883,0.0116822592855429,0.00858677860371124,2315,"tags=30%, list=13%, signal=26%","8334/3017/8357/8970/85236/8349/128312/92815/6737/8353/55766/8365/8347/8341/8339/440689/8358/715/8338/3014/8329"
"hsa04550","Signaling pathways regulating pluripotency of stem cells",126,0.394600635811725,1.57613860664333,0.00233967294333725,0.01565781123618,0.0115089175147966,3698,"tags=33%, list=22%, signal=26%","4609/9869/83729/8322/8503/3400/6498/8820/652/3398/4086/92/4090/3977/7994/324/3572/5295/5894/9421/3720/7475/9314/3717/2535/3625/3670/130399/3624/4093/7473/2247/5291/80326/8323/3175/3397/4211/3399/7855/90/7480"
"hsa05222","Small cell lung cancer",89,0.41748043468419,1.57243229101514,0.00579208300711495,0.0341634726521356,0.02511108243941,1582,"tags=20%, list=9%, signal=18%","4609/1647/8503/3918/1030/4616/598/6258/3914/1026/7189/3908/596/4792/330/3910/7185/5295"
"hsa03460","Fanconi anemia pathway",51,0.48316218032063,1.6459891474891,0.00613223796348711,0.0349814436829114,0.0257123134148441,970,"tags=22%, list=6%, signal=20%","91442/2188/79728/3280/11201/116028/5395/146956/7398/22909/2072"
